,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
600,100,59181,52101,52832,58067,28906
601,100,87382,75604,76481,85744,41371
602,150,53185,50578,51229,53076,39652
603,150,54225,28829,29606,53686,30375
604,150,28086,26650,26939,27937,16126
605,150,25362,18670,19821,24307,10968
606,150,30661,28080,28360,30199,17823
607,150,69997,54068,58339,69322,47454
608,150,45823,35837,38787,45478,30590
609,150,61320,55609,57276,61097,42563
610,150,92581,72116,75221,91893,64047
611,150,67311,48474,50051,66707,40521
612,150,80648,71860,73173,80113,54952
613,150,76724,63182,65938,76219,53794
614,151,13099,12809,12948,13043,9542
615,151,56111,51535,53475,55856,38005
616,151,86860,82059,82703,86551,64016
617,151,82235,78580,78922,81927,53843
618,151,83925,78636,79798,83530,59337
619,151,99586,91072,94876,99150,68637
620,151,95879,90063,91569,95510,65976
621,151,63856,60326,60800,63589,44297
622,151,77763,73135,74849,77503,52608
623,151,78181,74409,75002,77851,53723
624,151,65206,61644,62617,65003,51499
625,151,83146,79229,79966,82844,59181
626,151,78028,73466,74228,77568,54595
627,151,101387,93944,95998,100891,70845
628,151,101680,94500,95287,101293,75461
629,151,91366,86346,87221,90918,62817
630,100,136803,115504,116455,135441,91891
631,100,89078,48021,49327,87238,61391
632,100,154156,97873,98736,152572,108147
633,100,115953,63540,65907,114747,82038
634,100,141688,129812,130002,139163,98625
635,100,143402,119743,120345,141597,104668
636,100,137898,43643,44847,129272,60149
637,151,138312,99997,106550,136183,68418
638,151,151536,113594,122383,149723,82861
639,151,207314,145951,156484,203413,102679
640,151,171868,121187,129295,167540,79319
641,151,19246,12706,13933,16858,8550
642,151,15213,12750,13297,14252,9368
643,151,16235,12713,13757,15326,10321
644,151,17607,13453,14417,16246,10074
645,151,23216,14194,15849,19699,9922
646,151,38676,25039,28107,34223,17307
647,151,17259,11930,13311,15578,9251
648,151,17411,12162,13254,15800,9544
649,151,30409,21163,23365,28187,17099
650,151,19093,14509,15441,17985,11359
651,151,29680,18687,20021,26038,14054
652,100,184548,142411,146220,182692,89195
653,100,186613,147739,151825,184377,82923
654,100,161755,131453,135651,160433,86732
655,100,192794,144309,149560,188704,83015
656,100,166733,131574,137069,159914,66218
657,100,177661,141693,147726,170249,71386
658,100,196874,162057,167957,189951,80983
659,100,586580,500198,513238,571510,301199
660,100,177609,162998,166731,175116,103518
661,100,229913,205630,212622,225350,125063
662,100,92560,78681,81122,90976,48348
663,100,106926,91547,93398,105735,78743
664,100,35414,32276,32379,34348,24214
665,100,115713,97261,98511,114712,68069
666,100,134310,103674,106879,132057,70962
667,100,172303,153204,155537,170113,90997
668,100,306116,265015,277395,304321,167515
669,100,115843,91874,94691,114785,60583
670,100,135953,111227,114944,134314,72679
671,100,210868,154757,162620,207683,95691
672,100,256454,203916,210713,250036,109040
673,100,178063,138997,143033,171800,66170
674,100,216392,177607,182554,207791,76942
675,100,144620,113262,116732,139557,56793
676,100,212943,151557,160919,203576,81853
677,100,165328,132012,138082,159755,68286
678,100,173154,142650,147566,165869,62924
679,100,243179,192044,195561,237853,110202
680,100,146809,98527,102486,141481,53994
681,100,161820,113129,117231,155924,58935
682,100,198116,155531,158534,193621,88180
683,100,187488,149562,152077,183767,86449
684,100,141212,85464,94901,132422,60771
685,100,213287,128787,141266,202333,90453
686,100,151728,117864,120606,148011,68208
687,100,159523,125467,127820,155986,71932
688,100,224859,150094,155875,212862,82572
689,100,184320,123393,127682,173769,67662
690,100,187770,153059,156367,183300,87603
691,100,422076,349710,354250,416612,205649
692,100,122464,86008,90519,118788,51388
693,100,211887,170878,174918,206582,96509
694,100,137411,91094,94823,132053,49234
695,100,180001,117031,123052,170858,57906
696,100,250259,215017,219313,237317,112127
697,100,162201,104687,109952,153553,52740
698,100,211738,171678,174301,208284,99670
699,100,152656,113047,118389,149925,66142
700,100,176415,132587,136711,172329,89312
701,100,167232,120370,125585,162512,64589
702,151,122842,100806,102750,121650,89224
703,151,102431,86209,87555,101475,74234
